code,description,category
47540,"Placement of Stent and Drainage Catheter of Biliary Duct, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",Specialty
47541,"Placement of Access Device into Biliary Tract, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",Specialty
47542,Balloon Dilation of Bile Duct Accessed through the Skin using Imaging Guidance including Radiological Supervision and Interpretation,Specialty
47543,Biopsy of Bile Duct or Liver Duct Accessed through the Skin using Imaging Guidance with Radiological Supervision and Interpretation,Specialty
47544,"Removal of Biliary Duct or Gallbladder Stone, Accessed through the Skin using Imaging Guidance and Radiological Supervision and Interpretation",Specialty
51715,Augmentation Cystoplasty,Specialty
54324,Epispadias Repair,Specialty
54326,Hypospadias Repair,Specialty
50650,Partial Cystectomy,Specialty
54437,Repair of Fractured Penis,Specialty
54300,Straightening Procedure of the Penis,Specialty
55530,Varicocoelectomy,Specialty
55520,Removal of Spermatic Cord Growth,Specialty
55550,Tying of Spermatic Veins using an Endoscope,Specialty
51596,Total Cystectomy + Urinary Diversion,Specialty
51050,Cystolithotomy/ Vesicostomy,Specialty
50220,Nephrectomy,Specialty
50240,Partial NEPHRECTOMY,Specialty
54120,Partial Penoctomy,Specialty
50605,Pyeloplasty - PUJ,Specialty
50060,Nephrolithotomy,Specialty
50100,Repositioning of Abnormal Kidney Blood Vessels,Specialty
50120,Exploration of Kidney,Specialty
50125,Incision and Drainage of Kidney IE Abcess,Specialty
51102,Supra Pubic Cystostomy(SPC),Specialty
51597,Total Cystectomy & Urinary Diversion,Specialty
54125,Total Penectomy/Bilateral Inguinal LN Dissection,Specialty
50610,Ureterolithotomy,Specialty
53410,Urethroplasty,Specialty
51530,Urinary Bladder Diverticulectomy,Specialty
54150,Circumsion (Phymosis & Paraphymosis),Specialty
52005,Cystoscopy & Ureteric Catheterization,Specialty
54380,Glansplasty,Specialty
55040,Hydrocelectomy,Specialty
53020,Meatotomy /Perineal Urethrotomy,Specialty
55842,Open Prostatectomy,Specialty
54535,Orchidectomy,Specialty
54522,Partial Orchidectomy,Specialty
54560,Testicular Exploration,Specialty
54680,Transplantation of One or Both Testicles to Thigh,Specialty
54690,Removal of One or Both Testicles using an Endoscope,Specialty
54650,Orchidopexy,Specialty
54430,Priapism Operation(Shunting),Specialty
55180,Scrotoplasty,Specialty
52234,Transurethral Resection of Bladder Tumour,Specialty
52601,Transurethral Resection of Prostate,Specialty
50780,Ureteric Re-Implantation,Specialty
52007,Cystoscopy Biopsy + EUA,Specialty
53400,Direct Vision Urethrotomy,Specialty
50075,Pyelolithotomy,Specialty
52351,Ureteroscopy,Specialty
52281,Urethral Bouging,Specialty
54520,Bilateral Subcapsular Orchidectomy,Specialty
52276,Optical Urethrotomy (OTIS),Specialty
55700,Prostatic Trucut Biopsy,Specialty
52332,Renoscopy,Specialty
54500,Testicular Biopsy,Specialty
51702,Urethral Catheterization,Specialty
52000,Urethrocystoscopy,Specialty
55250,Vascectomy,Specialty
53445,Transurethral Resection or Incision of Bladder Nec,Specialty
55175,Scrotoplasty,Specialty
52270,Direct Visual Urethrotomy (DVU),Specialty
50590,Eswl Session for Renal Stones(electro Shock Wave Lithotripsy),Specialty
50575,DJ Stent Different Sizes with Guide Wire,Specialty
52310,DJ Stent Removal,Specialty
50574,Kidney Biopsy,Specialty
52201,Cystoscopy + EUA + Biopsy,Specialty
54505,Testicular Biopsy,Specialty
58951,Pelvic Exenteration,Specialty
54161,Circumscission (adult),Specialty
43320,Anti Reflux Surgery,Specialty
19301,Breast Lumpectomy (Malignant),Specialty
31623,Bronchoscopy See/ORL,Specialty
46280,Fissurectomy,Specialty
46200,Fistulectomy,Specialty
32320,Lung Decortication,Specialty
32480,Lung Lobectomy,Specialty
39010,Mediasternotomy Surgery,Specialty
19307,Modified Radical Mastectomy,Specialty
43107,Oesophagectomy,Specialty
32220,Pleurectomy,Specialty
32650,Pleurodesis,Specialty
32440,Pneumonectomy,Specialty
19306,Radical Mastectomy,Specialty
21600,Rib Resection,Specialty
32900,Rib Excision,Specialty
19303,Simple Mastectomy,Specialty
97597,Surgical Debriment Under G/A,Specialty
32601,Thoracoscopy for Mediastinal Tumors,Specialty
32096,Thoracotomy Achalasia of Oesophagus,Specialty
32097,Thoracotomy Decortication,Specialty
60220,Thyroid Lobectomy,Specialty
60212,Subtotal Thyroidectomy,Specialty
60240,Total Thyroidectomy,Specialty
47600,Cholecystectomy,Specialty
47610,Cholecystectomy & CBD Exploration,Specialty
43264,Choledocotomy,Specialty
47425,Duct Calculi Removal,Specialty
47010,Incision & Drainage of Liver Abscess (Open),Specialty
47120,Lobectomy (Liver),Specialty
44950,Appendicectomy,Specialty
49900,Suture of Postsurgical Abdominal Wall Opening,Specialty
44625,Colostomy Closure- Laparatomy,Specialty
44626,Colostomy Closure-Non Laparatomy,Specialty
44340,Colostomy Revision,Specialty
39599,Hernia Repair - Diaphragmatic,Specialty
49540,Hernia Repair - Epigastric/Umbilical,Specialty
49505,Hernia Repair - Inguinal/Fermoral,Specialty
49595,Herniotomy,Specialty
49565,Incisional Hernia Repair,Specialty
49568,Hernioplasty,Specialty
43840,Laparotomy Intestinal Obstruction,Specialty
44602,Laparotomy Perforation of Viscera,Specialty
47350,Liver Trauma Surgical Repair,Specialty
49020,"Drainage of Abdominal Abscess or Infection, Open Procedure",Specialty
38100,Splenectomy,Specialty
38115,Repair of Ruptured Spleen,Specialty
38129,Laparoscopic Splenectomy,Specialty
15830,Abdominal Dermolipectomy,Specialty
44320,Colostomy Defunctioning,Specialty
43810,Gastrojejunostomy,Specialty
44140,Hemicolectomy,Specialty
15877,Liposuction (Major),Specialty
19112,Michrodochotomy,Specialty
15650,Plastic Surgery - SSG & FLAP,Specialty
37181,Portal Systemic Shunt Procedure,Specialty
45300,Proctoscopy Eua Biopsy (Rigid),Specialty
44345,PSARP,Specialty
45121,Pull Through Surgery (Procedures),Specialty
19318,Reduction Mammoplasty,Specialty
48150,Resection - Whipples Procedure,Specialty
43244,Stripping of Oesophageal Varices / Band Ligation,Specialty
26560,Syndactyl Release / Separation,Specialty
60521,Thymectomy,Specialty
43314,Tracheal Oesophaeal Fistula Closure,Specialty
15750,Varicose Vein Surgery + Skin Grafting,Specialty
45110,Abdominal Perineal Resection(Rectum Operations),Specialty
45111,Anterior Resection(Rectum Operations),Specialty
47721,Cholecysto - Jejunostomy,Specialty
43635,Drainage/Antrectomy,Specialty
11404,Wide Major Excision,Specialty
43633,Gastrectomy Plus Bypass,Specialty
43620,Gastrectomy-Total,Specialty
43999,Gastrostomy,Specialty
41130,Partial Glossectomy,Specialty
46221,Haemorrhoidectomy (Band Ligation),Specialty
46255,Haemorrhoidectomy (Open),Specialty
46947,Haemorrhoidectomy (Stappler),Specialty
44147,Laparotomy for Colon Resection,Specialty
44620,Laparotomy for Colostomy/Closure,Specialty
47001,Needle Biopsy of Liver,Specialty
47362,Re-Exploration of Liver Wound with Removal of Packing,Specialty
45910,Anal Dilatation,Specialty
45990,Diagnostic Examination of Anus and Rectum under Anesthesia,Specialty
48500,Pancreatic-Cyst Drainage,Specialty
48140,Pancreatic-Partial Resection,Specialty
43520,Pyloromyotomy,Specialty
43640,Truncal / Selective Vagotomy & Gastrojejunal Anastomos,Specialty
43641,Vagotomy & Bypass Procedure,Specialty
26123,Contracture Release Major,Specialty
21931,Lipoma Excision Under G/A,Specialty
15111,Major Skin Grafting,Specialty
14302,Rotation Flap Operation,Specialty
11426,Wide Major Excision,Specialty
57289,Cystocele Repair,Specialty
57268,Enterocele Repair,Specialty
19125,Breast Lumpectomy,Specialty
19361,Mammoplasty,Specialty
60280,Thyroglossal Cyst/Fistula Excision,Specialty
60252,Thyroid Total Thyroidectomy,Specialty
31660,Bronchoscopic Ablative Therapy,Specialty
31622,"Bronchoscopy, Biopsy & Brush Cytology",Specialty
45331,Colonoscopy With Biopsy,Specialty
17250,Cauterazation,Specialty
43237,Endoscopic Uss,Specialty
43260,ERCP,Specialty
43262,ERCP And Sphicterotomy,Specialty
43274,ERCP And Stenting,Specialty
43266,Esophageal Stenting,Specialty
43233,OGD (Oesophagogastroduodenoscopy),Specialty
43246,Percutaneous Endoscopic Gastrotomy (PEG),Specialty
43250,Polypectomy,Specialty
46600,Proctoscopy,Specialty
27339,Lipoma/Cyst Excison,Specialty
21014,Lipoma Cyst Polyp Excision,Specialty
43197,Oesophagoscopy Rigid/Flexible,Specialty
32609,Pleural Biopsy,Specialty
32554,Pleural TAP,Specialty
20101,Wound Exploration,Specialty
47015,Liver Abscess Aspiration,Specialty
47000,Perctaneous Liver Biopsy,Specialty
46040,Incision & Drainage-Ischial Rectal Abscess,Specialty
11100,Skin Biopsy,Specialty
36425,Venous Cutting Down,Specialty
15852,Major Wound Dressing under G/A,Specialty
45900,Anal Dilatation,Specialty
46220,Cauterization (Electrical),Specialty
45378,Colonoscopy (Flexible),Specialty
43259,Endoscopic Us,Specialty
43235,Enteroscopy,Specialty
43261,ERCP + Sphicterotomy,Specialty
74330,ERCP + Stenting,Specialty
43450,Esophageal Dilatation,Specialty
43212,Esophageal Stenting,Specialty
43202,Oesophageal Biopsy,Specialty
43231,Oesophagoscopy,Specialty
43239,"Osophagus, Gastric and Deodenal with Biopsy",Specialty
43243,"Osophagus, Gastric and Deodenal with Sclerotherapy",Specialty
45100,Rectal Biopsy,Specialty
36470,Sclerotherapy,Specialty
26587,Extradigit Amputation - Minor,Specialty
11424,Wide Minor Excision,Specialty
10040,Acne Scar Removal,Specialty
10061,Incision and Drainage of Pyomyositis,Specialty
11730,Removing Ingrowing Nail,Specialty
15839,Kelloid Excision,Specialty
27385,Repair of Muscle,Specialty
15150,Minor Skin Grafting,Specialty
15783,Slit Skin Smear,Specialty
11006,Sloughectomy,Specialty
15851,Stitch Sinus Exploration,Specialty
16025,Minor Wound Dressing,Specialty
60500,Parathyroidectomy,Specialty
49321,Laparoscopy(with Necessary Biopsies) - Nissen Fundoplication,Specialty
44615,Laparoscopy (with Necessary Biopsies) - Adhesion/ Bowel Obstruction,Specialty
49652,Laparoscopic Femoral Hernia Repair,Specialty
44212,Laparoscopic Assisted Colectomy,Specialty
43325,Laparoscopic Heller Myotomy for Achalasia,Specialty
51820,Laparoscopic Repair of Urinary Bladder,Specialty
39561,Laparoscopic Diaphragmatic Injury Repair,Specialty
49329,Laparoscopic Repair of Visceral Injuries (stomach / Large& Small Bowel),Specialty
32659,Laparoscopic Pericardial Window,Specialty
45126,Abdominal Perineal Resection,Specialty
37140,Portal Systemic Shunt Procedure,Specialty
63173,Lumboperitoneal Shunt,Specialty
43305,Tracheal Oesophaeal Fistula Closure,Specialty
43335,Laparoscopy (with Necessary Biopsies) - Cholecystectomy,Specialty
62143,Hernia Repair - Diaphragmatic,Specialty
32124,Lung Decortication,Specialty
60520,Thymomectomy,Specialty
49580,Herniotomy (paediatric),Specialty
48510,Pancreatic or Cyst Drainage (cystogastrostomy),Specialty
44970,Laparoscopy (with Necessary Biopsies) - Appendectomy,Specialty
37761,Varicose Vein Stripping (low),Specialty
62096,Open Chest Drainage (chest Window),Specialty
49654,Hernia Repair - Incisional,Specialty
60650,Laparoscopy (with Necessary Biopsies) - Diagnostic,Specialty
44955,Appendicectomy,Specialty
27591,Femur Transfemoral Amputation,Specialty
45505,Rectocele Repair,Specialty
27884,Tibia Transtibial Amputation,Specialty
49002,Burst Abdomen- Repair,Specialty
25295,Keloid Excission-major,Specialty
43220,Esophagoscopy & Dilatation,Specialty
45020,Incision & Drainage - Ischio Rectal Abscess,Specialty
43100,Colonoscopy (flexible/rigid) without Biopsy,Specialty
43200,Endoscopic Biopsy,Specialty
32169,Pleural Biopsy,Specialty
27336,Lipoma Excision (minor),Specialty
46270,Fistulectomy,Specialty
45305,"Proctoscopy, Eua, Biopsy (rigid Scope)",Specialty
31295,Antral Wash Out,Specialty
49082,Laparotomy (peritonitis),Specialty
20005,Simple Abscess Incision & Drainage,Specialty
28060,Plantar Fasciotomy Open - Foot,Specialty
28008,Plantar Fasciotomy Percutaneous - Foot,Specialty
17000,"Cryotherapy (e.g Eye,skin,cervix)",Specialty
31625,Bronchoscopy- Biopsy & Brush Cytology (fibre Optic),Specialty
58960,Laparatomy,Specialty
19120,Breast Lumpectomy (BENIGN),Specialty
32551,Tube Thoracostomy,Specialty
88160,Via-Visual Inspection with Acetic Acid,Specialty
58661,Bilateral Salphingo Ophorectomy,Specialty
58671,Blocking of Uterine Tubes By Device using an Endoscope,Specialty
57720,Cervical Tear Repair Extensive,Specialty
59121,Ectopic Pregnancy - Laparotomy & Salphingectomy,Specialty
58353,Endometrial Ablation,Specialty
57500,Eua And Wedge Biopsy-Cervical,Specialty
58662,Excission of Endometrial Implants,Specialty
58555,Hysterescopy,Specialty
51570,Laparatomy (Cystectomy),Specialty
58400,Laparatomy (Manchester Forthergil Repair),Specialty
58940,Laparatomy (Ovarain Tumor),Specialty
45000,Laparatomy (Pelvic Abscess),Specialty
57288,Laparatomy (Stress Incontinence Surgery),Specialty
57250,Laparatomy Perineorrhaphy,Specialty
58570,Laparoscopic Hysterectomy,Specialty
58145,Myomectomy (Laparoscopic),Specialty
57510,Leep Procedure,Specialty
58140,Myomectomy,Specialty
58670,Ovarian Drill,Specialty
57282,Perrineoplasty,Specialty
58150,Subtotal & Total Abdominal Hysterectomy,Specialty
58760,Tubal Anastomosis (Re-Anastomosis),Specialty
58673,Tuboplasty,Specialty
51900,Vvf Repair,Specialty
58410,Ventrosuspension Operations (Stameys Etc),Specialty
58954,Warthem Hysterectomy,Specialty
58615,Bilateral Tubal Ligation (BTL),Specialty
59514,Caesarean Section,Specialty
58611,Caesarean Section + BTL,Specialty
10060,Incision & Drainage,Specialty
58300,Insertion and Removal of LUCD,Specialty
59870,Sunction Curratage for Molar Pregnancy,Specialty
16030,Major Wound Dressing under G/A,Specialty
56440,Bartholins Abscess-Mursupialisation,Specialty
59320,Cervical Circlage-Shrodikar,Specialty
57000,Colpotomy,Specialty
57520,Cone Biopsy,Specialty
58120,Diagnostic Curretage-D and C,Specialty
59840,Dilatation And Curratage(D&C),Specialty
59812,Evacuation,Specialty
11983,Insertion And Removal Implanon,Specialty
57452,Colposcopy,Specialty
59820,Manual Vacum Aspiration,Specialty
58558,Polypectomy-Cervical,Specialty
56630,Simple Vulvectomy,Specialty
58260,Vagina Hysterectomy,Specialty
59300,Vaginal Repair,Specialty
58285,Wartheim Hysterectomy,Specialty
59160,Retained Placenta Removal,Specialty
57265,Enterocele Repair,Specialty
60540,Laparotomy for Other Conditions,Specialty
49000,Explorative Laparatomy,Specialty
58925,Ovarian Cystectomy,Specialty
58210,Radical Hysterectomy,Specialty
57300,RVF Repair,Specialty
57461,CONE Biopsy,Specialty
56810,Perineoraphy,Specialty
58578,Laparascopy,Specialty
58579,Hysteroscopy,Specialty
59409,Normal Delivery,Specialty
56442,Hymenectomy,Specialty
19100,Core Needle biopsy,Specialty
65810,Anterior Chamber Washout,Specialty
66984,Cataract Surgery with IOL Insertion,Specialty
66920,Cataract Surgery Without IOL Insertion,Specialty
66820,Posterior Capsulotomy,Specialty
66825,Repositioning of Lens Prosthesis,Specialty
66840,Lens Washout,Specialty
66983,Phaeco-Emulsification Surgery with Foldable Lens,Specialty
66930,Lensectomy,Specialty
66985,Secondary Intra Ocular Lens Insertion,Specialty
66680,Iris Repair,Specialty
66986,Intra Ocular Lens Exchange,Specialty
65426,Pterygium Excision,Specialty
68399,Conjuctival Flap,Specialty
68200,Subconjunctiva Injection,Specialty
68320,Conjunctiva Repair,Specialty
65273,Conjuctival Graft,Specialty
68325,Conjuctival Mass Excision,Specialty
68130,Scleral Growth Excision,Specialty
65400,Corneal Mass Excision,Specialty
65410,Corneal Biopsy,Specialty
65430,Corneal Scrapping,Specialty
65210,Corneal/Scleral F.B. Removal,Specialty
65756,Transplant of Outer Layer of Corneal Tissue,Specialty
65757,Preparation of Corneal Tissue for Transplant,Specialty
65760,Removal and Reshaping of Corneal Tissue,Specialty
65767,Transplantation of Donor Corneal Tissue,Specialty
65770,Placement of Tube with Optical Power to Cornea,Specialty
65771,Incisions in Cornea to Correct Refraction Error,Specialty
65772,Incisions to Cornea to Correct Astigmatism,Specialty
65775,Excision of Corneal Tissue to Correct Astigmatism,Specialty
65778,Free Amniotic Membrane Graft,Specialty
65779,Sutured Amniotic Membrane Graft,Specialty
65781,Cornea Stem Cell Transplantation,Specialty
65785,Corneal Ring Implantation,Specialty
65710,Corneal Graft,Specialty
65280,Corneal/Scleral Repair,Specialty
0402T,Collagen Cross Linking Treatment of Disease of Cornea,Specialty
65101,Enucleation,Specialty
65103,Enucleation and Ocular Implant Placement,Specialty
65091,Evisceration,Specialty
65093,Evisceration and Ocular Implant Placement,Specialty
65150,Ocular Implant Revision,Specialty
65175,Ocular Implant Removal,Specialty
65110,Exenteration,Specialty
67299,Orbitotomy,Specialty
67415,Orbital Contents Fine Needle Aspiration,Specialty
67500,Retro Bulbar Injection,Specialty
67505,Retro Bulbar Alcohol Injection,Specialty
67570,Optic Nerve Decompression,Specialty
68810,Probing,Specialty
68500,Lacrimal Gland Excision,Specialty
68505,Lacrimal Gland Partial Excision,Specialty
68510,Lacrimal Gland Biopsy,Specialty
68520,Tear SAC Excision,Specialty
68525,Tear SAC Biopsy,Specialty
68530,Tear Passages Foreign Body Removal,Specialty
68540,Tear Sac Mass Excision,Specialty
68700,Tear Duct Reconstruction,Specialty
68801,Tear Drainage Dilatation,Specialty
68815,Probing with Stent/Tube Insertion,Specialty
68816,Probing with Balloon Catheter Dilatation,Specialty
67875,Tarsorhaphy,Specialty
68720,Dacryorrhinosistomy,Specialty
68760,Duct Opening Repair,Specialty
68761,Puncto Plug,Specialty
68770,Tear Drainage Closure,Specialty
68020,Demoid Cyst Excision (Eye),Specialty
67924,Lid Rotation - TRP,Specialty
67250,Scleral Defect Repair,Specialty
67255,Scleral Repair with Graft,Specialty
67901,Ptosis Surgery,Specialty
67906,Brow Suspension,Specialty
67900,Repair of Brow Paralysis,Specialty
67902,Repair of Upper Eyelid Muscle to Correct Drooping or Paralysis,Specialty
67903,Shortening or Advancement of Upper Eyelid Muscle to Correct Drooping or Paralysis,Specialty
67904,Repair of Tendon of Upper Eyelid,Specialty
67908,"Removal of Tissue, Muscle, and Membrane to Correct Eyelid Drooping or Paralysis",Specialty
67909,Procedure to Reduce Overcorrection of Drooping or Paralyzed Upper Eyelid,Specialty
67825,Electrolysis,Specialty
67700,Eye Lid Abscess I&D,Specialty
67710,Eye Lid Sutures Removal,Specialty
67715,Canthotomy,Specialty
67800,Eyelid Mass Excision,Specialty
67801,Multiple Same Eye Lid Masses Excision,Specialty
67808,Eye Lid Mass Excision Under GA,Specialty
67810,Eye Lid Biopsy,Specialty
67820,Epilation,Specialty
67916,Ectropion Repair,Specialty
67923,ENTROPION REPAIR,Specialty
67930,Lid Margin Laceration Repair,Specialty
67938,Foreign Body Removal of the Eye Lid,Specialty
67971,Eye Lid Reconstruction with Graft,Specialty
15820,Removal of Excessive Skin of Lower Eyelid,Specialty
15821,Removal of Excessive Skin of Lower Eyelid and Fat Around Eye,Specialty
15822,Removal of Excessive Skin of Upper Eyelid,Specialty
15823,Removal of Excessive Skin and Fat of Upper Eyelid,Specialty
67320,Strabismus Surgery,Specialty
67311,Realignment of The Eye With Repair of One Horizontal Eye Muscle,Specialty
67312,Realignment of The Eye With Repair of Two Horizontal Eye Muscles,Specialty
67314,Realignment of The Eye With Repair of One Vertical Muscle,Specialty
67316,Realignment of The Eye With Repair of Two or more Vertical Muscles,Specialty
67331,Traumatic Strabismus Correction Surgery,Specialty
67332,Realignment of Eye Having Scarring or Restrictive Muscle Movement,Specialty
67334,Posterior Fixation Strabismus Surgery,Specialty
67335,Strabismus Surgery with Adjustable Sutures,Specialty
67340,Strabismus Surgery with Repair of Detached Muscle,Specialty
92060,Orthoptic Assesment,Specialty
92065,Orthoptic Exercises,Specialty
65820,Goniotomy,Specialty
66170,Trabeculectomy,Specialty
66180,Glaucoma Surgery With Graft,Specialty
66184,Glaucoma Shunt Revision,Specialty
66500,Iridectomy,Specialty
65850,Glaucoma Valve Implantation,Specialty
66761,Laser Iridotomy,Specialty
66630,Iridotomy,Specialty
66174,Trabeculotomy,Specialty
66155,Trab/ Trab,Specialty
0449T,Insertion of Aqueous Fluid Drainage Device into Eye,Specialty
67141,Cryotherapy,Specialty
66821,Laser Capsulectomy,Specialty
65855,Laser Trabeculoplasty,Specialty
66710,Laser Capsulotomy,Specialty
66711,Destruction of Tissue Encircling Lens using an Endoscope,Specialty
66720,Destruction of Tissue Encircling Lens,Specialty
66740,Destruction of Tissue of Eyelid Border,Specialty
66770,Destruction of Growth of Iris using Laser,Specialty
67228,Pan Retinal Photocoagulation (PRP),Specialty
92071,Fitting of Contact Lens for Treatment of Ocular Surface Disease,Specialty
92072,Fitting of Contact Lens for Management of Corneal Degeneration,Specialty
92136,Keratometry,Specialty
92275,Electro-Retinogram (ERG),Specialty
76516,A Scan,Specialty
76512,B Scan,Specialty
92018,EYE-EUA,Specialty
92250,Fundus Photograph,Specialty
92081,Visual Field Analysis,Specialty
92004,Low Vision Assessment,Specialty
92025,Cornea Topography,Specialty
0198T,Measurement of Eye Intra Ocular Pressure,Specialty
67041,Removal of Membrane From the Retina,Specialty
67042,"Removal of Membrane From the Retina, Pars Plana Approach",Specialty
67101,"Repair of Detached Retina, 1 or more Sessions",Specialty
67107,Repair of Detached Retina and Drainage of Eye Fluid Between Lens And Retina,Specialty
67110,Repair of Detached Retina by Injection of Air or Gas,Specialty
67113,Repair of Detached Retina and Drainage of Eye Fluid Between Lens And Retina,Specialty
67115,Release of Retinal Encircling Material,Specialty
67120,Removal of Implant Material from outside the Eye,Specialty
67121,Removal of Implant Material from inside the Eye,Specialty
67145,"Preventive Retinal Detachment Treatment by Heat or Laser, 1 or more Sessions",Specialty
67208,"Destruction of Retinal Growth by Heat or Freezing, 1 or more Sessions",Specialty
67218,"Destruction of Retinal Growth with Implantation of Radiation Source, 1 or more Sessions",Specialty
67220,"Destruction of Vascular Growth Between Retina and Sclera, 1 or more Sessions",Specialty
67221,Destruction of Vascular Growth Between Retina and Sclera,Specialty
67225,"Destruction of Vascular Growth Between Retina and Sclera, at single Session",Specialty
67227,"Destruction of Leaking Retinal Blood Vessels, 1 or more Sessions",Specialty
67229,"Laser Destruction or Freezing of Extensive Leaking Retinal Blood Vessels, Preterm Infant, 1 or more Sessions",Specialty
67005,Anterior Vitrectomy,Specialty
67015,Vitrectomy,Specialty
67025,Injection of Synthetic Eye Fluid,Specialty
67027,Implantation of Eye Drug Delivery System,Specialty
67028,Intra Vitreal Injection,Specialty
92553,Audiometry-Spec Investigation,Specialty
43194,Oesophagus FB Removal,Specialty
11005,Sloughectomy (G/A or Without G/A),Specialty
11440,Head and Neck Tumo Excision and Flap Econstruction,Specialty
69632,Ossiculoplasty,Specialty
42890,Palatopharyngotomy Plus Tuomor Excision,Specialty
92538,Vestibular Test,Specialty
30300,Removal of Foreign Body in Nose,Specialty
D7260,Oral Antral Fistula Repair,Specialty
42665,Tying Salivary Gland Duct,Specialty
31600,Tracheostomy,Specialty
42835,Adenoidectomy/Adenotomy,Specialty
42820,Adenotonsilectomy,Specialty
31561,Arytenoidectomy,Specialty
31032,Bilateral/Unilateral Cald Wel Luc,Specialty
42810,Brachial Cyst/ Fistula Excision,Specialty
38720,Cervical Node Excision,Specialty
31360,Cordectomy,Specialty
31535,Direct Laryngoscopy & Biopsy,Specialty
31237,Direct Nasopharyingoscopy & Biopsy,Specialty
42815,Excision of Branchial Fistulla,Specialty
69140,Excision of Osteoma of External Auditory Canal,Specialty
42140,Excision of Soft Palate Tumour,Specialty
31780,Excision Subglottic Stenosis,Specialty
31201,External Ethmoidectomy,Specialty
31255,Functional Endoscope Sinus Surgery (Fess),Specialty
31382,Hemi Laryngectomy,Specialty
31256,Intra Nasal Antrostomy,Specialty
31587,Laryngeal Fissure,Specialty
30117,Lateral Rhinotomy,Specialty
38500,Lymph Node Biopsy,Specialty
31599,Micro Laryngeal Surgery (Mls),Specialty
42953,Tracheosophageal Excision,Specialty
69502,Mastoidectomy,Specialty
31575,Micro Laryngoscopy & Biopsy,Specialty
31541,Microlaryngeal Surgery,Specialty
69642,Modified Radical Mastoidectomy,Specialty
69436,Myringotomy & Tube,Specialty
69433,Incision of Eardrum with Insertion of Eardrum Tube Under Local or Topical Anesthesia,Specialty
30110,Nasal Polypectomy,Specialty
38724,Radical Neck Dissection,Specialty
42892,Parapharyngeal Tumor Excision,Specialty
42410,Superficial Parotidectomy,Specialty
69511,Radical Mastoidectomy,Specialty
30310,Foreign Body Removal Nose Under GA,Specialty
30630,Septoplasty,Specialty
69660,Stapedectomy,Specialty
42415,Superficial Parotidectomy,Specialty
31367,Supralotic Laryngectomy,Specialty
31611,Surgical Speech Fistula Reconstruction,Specialty
42826,Tonsillectomy,Specialty
31365,Total Laryngectomy,Specialty
31230,Total Maxillectomy Plus Orbital Exanteration,Specialty
30930,Turbinate Repair/Resection,Specialty
30130,Turbinectomy,Specialty
69644,Tympano Mastoidectomy,Specialty
69610,Tympanoplast I-IV,Specialty
42145,Uvuto Palatopharyngotomy,Specialty
31375,Vertical Hemilaryngectomy,Specialty
31637,Bronchoscopic Stenting,Specialty
21044,Hemimandibulectomy,Specialty
21032,Hemimaxillectomy,Specialty
21025,Total Mandibulectomy,Specialty
D7560,Caldwel Luc Procedure,Specialty
21501,Incision & Drainage of Abscess,Specialty
20100,Surgical Toilet & Sulture,Specialty
31000,Antral Wash Out Bilateral,Specialty
31002,Antral Wash Out Unilateral,Specialty
42804,Nasopharynx Biopsy Under LA,Specialty
30100,Nose Biopsy Under LA,Specialty
40808,Oralpharynx Biopsy Under LA,Specialty
30903,Cautarization (Varices) Bilateral,Specialty
30901,Cautarization (Varices) Unilateral,Specialty
92551,Free Field Audiometry,Specialty
92590,Hearing Aid Trial,Specialty
D7240,Impaction Removal-Complicated,Specialty
69554,Kelloidectomy (Ear) L. A. Bilateral/Unilateral,Specialty
92550,Tympanometry,Specialty
69209,Removal of Ear Wax(Endoscopy Suction/Washing),Specialty
31231,Diagnostic Nasal Endoscopy,Specialty
31525,Diagnostic Rigid Laryngoscopy,Specialty
12056,Earlobe Repair,Specialty
31233,Endoscopic Suction Clearance Nose,Specialty
92511,Fibre Optic Nasal Laryngoscope,Specialty
69200,Removal of Foreign Body Ear,Specialty
69210,Wax Removal,Specialty
69220,Tympano Mastoidectomy,Specialty
31370,Vertical Hemilaryngectomy,Specialty
69799,Stapedectomy,Specialty
24410,Superficial Parotidectomy,Specialty
15828,Branchial Fistula Excision,Specialty
31770,Balloon Bronchoplasty,Specialty
42808,Brochoscopy foreign body removal,Specialty
30540,Choanal atresia release,Specialty
31020,Sinusectomy,Specialty
D7920,PLASTIC SURGICAL PROCEDURE,Specialty
14040,Plastic Surgery (10 Sq Centimeters or Less),Specialty
42426,Total Parotidectomy,Specialty
42440,Submandibular Salivary Gland Excision,Specialty
42450,Sublingual Savary Gland Excision,Specialty
42600,Closure of Abnormal Salivary Gland Drainage Tract,Specialty
11446,Keloid Excision,Specialty
96372,Keloid Infitration,Specialty
99024,Suture Removal,Specialty
42180,Uvular Repair / Hamostasis,Specialty
31511,Removal of Foreign Body from Voice Box using an Endoscope,Specialty
D7650,Zygomatic Arch Fracture (Open Reduction),Specialty
D7660,Zygomatic Arch Fracture (Closed Reduction),Specialty
D7680,Zygomatic Arch Fracture (Complicated),Specialty
D7999,Tissue Biopsy (ORAL Unspecified),Specialty
D7286,Tissue Biopsy (Oral Tissue Incision),Specialty
D7955,Cleft Lip & Palate Repair,Specialty
D7840,Condylectomy Unilateral,Specialty
D7899,Temporomandibular Joint Dysfunction Therapy,Specialty
