code,description,category
83690,Lipase Serum,Specialty
84165,Protein Electrophoresis Serum,Specialty
82607,Vitamin B-12 (Cyanocobalamin),Specialty
84295,Sodium/Post Dialysis Sodium,Specialty
84432,Thyroglobulin Antibodies (Tg Ab),Specialty
84466,Transferrin,Specialty
84478,Triglycerides,Specialty
84484,Troponin-I,Specialty
84560,Uric Acid,Specialty
80202,Vancomycin Level,Specialty
82652,"Vitamin D-25 (Dihydroxyvitamin D, 1, 25)",Specialty
83719,Very Low Density Lipoprotein (VLDL),Specialty
82570,24Hr Creatinine Urine,Specialty
84133,24Hr Potassium Urine,Specialty
84300,24Hr Sodium Urine,Specialty
84181,Globulin,Specialty
82374,Carbondioxide Serum,Specialty
82951,Oral Glucose Tolerance Test (OGTT),Specialty
84066,Acid Phosphotase Serum,Specialty
82803,Blood Gas Panel,Specialty
80375,Urine Drug Screening (UDS ),Specialty
80299,Quantitation of Therapeutic Drugs,Specialty
80197,Tacrolimus Level,Specialty
80195,Sirolimus Level,Specialty
80169,Everolimus Level,Specialty
82105,Alpha Feto Protein (AFP),Specialty
83880,Brain Natriuretic Peptide (BNP),Specialty
86304,Cancer Antigen - 125 (CA - 125),Specialty
82378,Carcinoembryonic Antigen (CEA),Specialty
82530,Cortisol,Specialty
80158,Cyclosporine Level,Specialty
82670,Estradiol Level,Specialty
83001,Follicle Stimulating Hormone (FSH),Specialty
83003,Growth Hormone (GH),Specialty
82784,Immunoglobulin A (IgA ),Specialty
86001,Immunoglobulin G (IgG),Specialty
86005,Immunoglobulin E for Allergic Substance (IgE),Specialty
83525,Insulin,Specialty
83002,Luteinizing Hormone (LH),Specialty
84144,Progesterone,Specialty
84146,Prolactin,Specialty
84153,Prostate Specific Antigen (PSA) Measurement,Specialty
84152,Prostate Specific Antigen (PSA) Level,Specialty
84681,C – Peptide,Specialty
84402,Testosterone,Specialty
86812,Immunoglobulin M (IgM),Specialty
86807,Complement Dependent Cytotoxicity Compatibility ( CDCC),Specialty
81371,Human Leukocyte Antigen Typing (HLA Typing),Specialty
88182,Flowcytometry Lymphocyte Crossmatch,Specialty
86316,Tumor Markers Analysis ( Others ),Specialty
86829,Donor Specific Antibody (DSA) to HLA Antigen,Specialty
86830,Panel Reactiveantibody Screening HLA Class I & Ii,Specialty
86060,Anti Streptolysin O Titre (ASOT),Specialty
86039,Autoimmune Antibodies (dsDNA),Specialty
86622,Brucella Abortus Antigen (Ag),Specialty
87147,Chlamydia (ELISA),Specialty
86644,Cytomegalovirus Antibody test (CMC-IgG),Specialty
86645,Cytomegalovirus Antibody test (CMV-IgM),Specialty
86664,Epstein Barr Virus IgG – Serum,Specialty
86663,Epstein Barr Virus IgM- Serum,Specialty
86705,Hepatitis B Core Igm Antibody (HBcAb),Specialty
86709,Hepatitis A Antibody (IgM ),Specialty
86707,Hepatitis B Envelope Antibody (HBeAb),Specialty
87350,Hepatitis B Envelope Antigen (HBeAg),Specialty
86706,Hepatitis B Surface Antibody (HBsAb),Specialty
87340,Hepatitis B Surface Antigen (HBsAg),Specialty
86803,Hepatitis C Antibody (HCVAb),Specialty
86695,Herpes Simplex Virus - Type 1(HSV-1) IgG & IgM,Specialty
86696,Herpes Simplex Virus - Type 2(HSV-2) IgG & IgM,Specialty
86689,HIV 1 & 2 Antibodies (ELISA),Specialty
87338,Helicobacter Pylori (H.pylori) Antigen test,Specialty
86677,Helicobacter Pylori (H.pylori) Antibody test,Specialty
81025,Urine for pregnancy test (UPT),Specialty
86757,Proteus abortus antibody test (Rapid),Specialty
86430,Rheumatoid Factor (RF) Qualitative,Specialty
86592,"Syphilis screening Test (VDRL, RPR or SD Bioline)",Specialty
86762,Rubella Antibody Test (IgG /IgM),Specialty
86777,Toxoplasma Antibody Test (IgG),Specialty
86778,Toxoplasma Antibody Test (IgM),Specialty
86780,Treponema Pallidum Haemagglutination Test (TPHA/TPPA),Specialty
86768,Widal Test,Specialty
84480,Tri - Iodothyronine Hormone (T3),Specialty
84437,Thyroxine Hormone (T4),Specialty
84155,Total Protein Serum,Specialty
84443,Thyroid Stimulating Hormone (TSH),Specialty
84520,Urea Nitrogen (Bun)/Post Dialysis Urea Nitrogen (BUN),Specialty
86021,Anti Neutrophil Cystoplasmic Antibodies (ANCA-C),Specialty
86406,Cryptococcal Antigen (CrAg),Specialty
86790,"Antibody Test for Influenza Virus, Rift Valley Fever, Chikungunya Virus, Zika Virus, Dengue Virus,Ebola Virus",Specialty
86431,Rheumatoid Factor (RF) Quantitative,Specialty
82024,Adenocorticotropic Hormone (ACTH),Specialty
86704,Hepatitis B Core Antibody (HBcAb),Specialty
82164,Angiotensin I,Specialty
82163,Angiotensin II,Specialty
82671,Oestrogen,Specialty
86703,HIV 1& 2 Antibody Rapid Test,Specialty
86708,Hepatitis A Antibody,Specialty
86022,Anti-Neutrophil Cystoplasmic Antibody(ANCA-P),Specialty
86225,Anti-Nuclear Antibody (ANA),Specialty
86403,Brucella Antibody Test (IgG)/ (IgM),Specialty
86828,Toxoplasma Antigen Test,Specialty
85025,Full Blood Picture (FBP) / Complete Blood Count (CBC),Specialty
85097,Bone Marrow Smear Interpretation,Specialty
86360,CD3/CD4/CD8 T Cell Count,Specialty
85651,Erythrocyte Sedimentation Rate (ESR),Specialty
85230,Factor VII,Specialty
85247,Factor VII,Specialty
85384,Fibrinogen,Specialty
82955,Glucose - 6 Phosphatase Dehydrogenase(G-6PGD),Specialty
83026,Haemoglobin (Hb),Specialty
82664,Haemoglobin Electropheresis + Sickling Test,Specialty
86235,Lupus Erythromatous Cell (LE Cell).,Specialty
85705,Partial Thromboplastin Time (PTT),Specialty
85060,Peripheral Blood Smear (PBS),Specialty
81206,Philadelphia Chromosome,Specialty
85049,"Platelet Count, Automated Test",Specialty
85210,Prothrombin Time (PT),Specialty
85660,Sickling Test,Specialty
85002,Bleeding Time,Specialty
85732,Activated Partial Thrombin Time (APTT),Specialty
85045,Reticulocyte Count,Specialty
86900,Blood Group Typing (ABO) and Blood Typing for Rhesus (D) Antigen,Specialty
86850,Red Blood Cells Antibodies Identification,Specialty
86920,Compatability Testing (Cross Matching) for Blood Transfusion,Specialty
86885,Coombs Test (Direct),Specialty
86940,Haemolysin Test,Specialty
86880,Coombs Test (Indirect),Specialty
86985,Preparation of Blood Product,Specialty
87070,"Body Fluids for Culture and Sensitivity (Cerebrospinal Fluids, Pleural,Ascitic, Peritoneal, Pericardial, Synovial Etc.)",Specialty
87040,Blood for Culture and Sensitivity,Specialty
87220,Skin Scraping for KOH,Specialty
87205,Gram Stain,Specialty
87206,Wet Preparation for Microorganisms and Cells,Specialty
87207,"Special Stain (Indian Ink, Nigrosin)",Specialty
87181,Quantitative Antimicrobial Susceptibility Testing,Specialty
87800,"Genital Swabs for Culture and Sensitivity (High Vaginal Swab, Urethral, Vaginal, Endo - Cervical Swabs)",Specialty
87076,"Ear Swab, Nasal Swab, Throat Swab and Eye Swab for Culture and Sensitivity",Specialty
Code,Service Description,Specialty
87075,Pus Swab for Culture and Sensitivity,Specialty
87101,"Scraping for Fungi Culture (Skin, Hair or Nail)",Specialty
87077,Sputum for Culture and Sensitivity,Specialty
87045,Stool for Culture and Sensitivity,Specialty
87088,Urine for Culture and Sensitivity,Specialty
81099,Urine Dipstick,Specialty
87046,Rectal Swab Culture and Sensitivity,Specialty
87015,Staining of Mycobacteria Species (ZN or Auramine Stains),Specialty
87190,Mycobacteria Liquid Culture and Drug Susceptibility Testing,Specialty
87550,"Genotypic Method for Mycobacteria (Xpert® MTB/Rif, LPA, etc.)",Specialty
87116,Mycobacteria Solid Culture and Drug Susceptibility Testing,Specialty
87560,Genotypic Methods for Detecting Non Tuberculous Mycobacteria (NTM),Specialty
87561,Genotypic Drug Susceptibility Testing for NTM,Specialty
87177,Blood Smear for Malaria Parasites (BS),Specialty
86750,Malaria Rapid Diagnostic Test (MRDT),Specialty
87209,"Special Stain for Parasites (Microfilaria, Leshmania, Trypanosoma etc.)",Specialty
82272,Stool for Occult Blood,Specialty
82274,Stool Analysis,Specialty
81005,Urine Analysis,Specialty
83883,Urine Bence Jones Protein,Specialty
88184,Ham Test for Paroxysmal Nocturnal Hemoglobinuria (PNH),Specialty
87210,Knot Technique for Microfilaria,Specialty
81015,Urine Analysis (Microscope),Specialty
88342,Immunohistochemistry (IHC),Specialty
88323,"Tissue Biopsy Processing, Interpretation and Report",Specialty
88314,"Frozen Preparation of Specimen, Interpretation and Report",Specialty
88313,"Special Stained Tissue Specimen Slides, Interpretation and Report",Specialty
88302,"Tissue Block Staining, Interpretation and Report",Specialty
88304,Specimen Slides Interpretation and Report,Specialty
88106,Cytology of Body Fluids,Specialty
88364,Bone Marrow Aspirate Cytology,Specialty
88173,Fine Needle Aspiration Cytology (FNAC),Specialty
88141,Pap Smear,Specialty
89322,Seminal Fluid Analysis (Cytology),Specialty
88104,Sputum Cytology,Specialty
88120,Urine Cytology,Specialty
88371,Immunocytochemistry,Specialty
88000,Autopsy without Histology,Specialty
88020,Autopsy with Histology,Specialty
88040,"Autopsy with Ancillary Studies (Microbiology, Chemistry/Toxicology,Genetic Etc",Specialty
88045,Preservation of Dead Body,Specialty
88005,Embalming,Specialty
88099,Washing and Decoration of Dead Body,Specialty
88125,Forensic (Investigation) Examination of Specimen,Specialty
89320,Semen Analysis,Specialty
87515,Hepatitis B Viral Load,Specialty
87389,HIV 1/2 Viral Load,Specialty
87534,PCR- Based Test(Others) test,Specialty
87149,PCR-Based Assays for Micro Organisms Identification,Specialty
87522,Hepatitis C Viral Load,Specialty
87150,"Identification of Organisms by Genetic Analysis (HBV,HCV,CMV, Polyoma)",Specialty
87185,Genotypic Antimicrobial Susceptibility Testing for Bacteria (PCR-Based),Specialty
87153,Genome Sequencing Methods,Specialty
87490,Chlamydia PCR,Specialty
71010,X-Ray Chest-PA,Specialty
70100,X-Ray Mandible,Specialty
70130,X-Ray Mastoid-Bilateral,Specialty
70140,X-Ray Facial Bones/Orbits,Specialty
70160,X-Ray Nasal Bone,Specialty
70190,X-Ray Skull,Specialty
70210,X-Ray Paranasal Sinuses,Specialty
70250,X-Ray Skull Studies-Ap And Lateral,Specialty
70330,Plain X-ray Temporal Mandibular Joints (TMJ),Specialty
71020,X-Ray Chest-Pa And Lateral,Specialty
71111,X-Ray Ribs,Specialty
71120,X-Ray Sternum,Specialty
72050,X-Ray Cervical Spine,Specialty
72052,X-Ray Cervical Spine-Oblique,Specialty
72070,X-Ray Thoracic Spine-Ap And Lateral,Specialty
72074,X-Ray Thoracic Spine-Oblique,Specialty
72082,X-Ray Total Spine,Specialty
72100,X-Ray Lumbosacral Ap & Lateral,Specialty
72110,X-Ray Lumbar Spine-Oblique,Specialty
72170,X-Ray Pelvis,Specialty
73000,X-Ray Clavicle,Specialty
73010,X-Ray Scapula,Specialty
73030,X-Ray Shoulder,Specialty
73060,X-Ray Humerus,Specialty
73070,X-Ray Elbow,Specialty
73090,X-Ray Forearm (Radius/Ulna),Specialty
73100,X-Ray Wrist,Specialty
73130,X-Ray Hand,Specialty
73140,X-Ray Finger,Specialty
73501,X-Ray Pelvis and Femur (Pediatric),Specialty
73502,X-Ray Hip,Specialty
73552,X-Ray Femur,Specialty
73562,X-Ray Knee-AP and Lateral,Specialty
73564,X-Ray Both Knees,Specialty
73590,X-ray leg (Tibia/fibula),Specialty
73610,X-Ray Ankle,Specialty
73620,X-Ray Foot,Specialty
73650,X-Ray Calcaneum,Specialty
73660,X-Ray Toe,Specialty
74020,X-Ray Abdomen-Supine/Erect,Specialty
74241,X-Ray Abdomen-KUB,Specialty
76140,X-Ray /Fluoroscopic Report,Specialty
77065,Mammography of Single Breast,Specialty
77076,X-Ray Skeletal Survey,Specialty
72072,X-Ray Lumbar Spine,Specialty
72080,X-Ray Thoraco- Lumbar Spine,Specialty
73110,X-Ray Wrist Joint,Specialty
73522,X-Ray Hip Joint,Specialty
73551,X-RAY Femur (Thigh),Specialty
73560,X-Ray Knee Joint,Specialty
73600,X-Ray Ankle Joint,Specialty
74000,X-Ray Abdomen,Specialty
73565,X-Ray Knee Weight Bearings,Specialty
72114,X-Ray Lumbar Spine/ Extension and Flexion,Specialty
77075,X-Ray Survey of Forearm or Wrist Bone Density,Specialty
77066,Mammography of Both Breasts,Specialty
76700,Ultrasound Abdominal,Specialty
76641,Ultrasound Breast,Specialty
76506,Ultrasound Cranial,Specialty
76770,Ultrasound KUB,Specialty
76815,Ultrasound Obstetric,Specialty
76856,Ultrasound Pelvis,Specialty
76775,Ultrasound Renal,Specialty
76870,Ultrasound Scrotum,Specialty
76536,Ultrasound Head and Neck / Thyroid,Specialty
93971,Ultrasound Vascular Doppler,Specialty
93880,Doppler Ultrasound of Head and Neck,Specialty
93922,Doppler ultrasound of upper limbs,Specialty
93923,Doppler Ultrasound of Lower Limbs,Specialty
93975,Dopller Ultrasound of Abdomen/Pelvis/Scrotum,Specialty
93976,Dopller Ultrasound of Abdomen/Pelvis/Scrotum(Limited),Specialty
93980,Penile Doppler,Specialty
93990,Ultrasound Doppler Dialysis Access/Fistula Assessment,Specialty
76820,Ultrasound of Fetal Umbilical Artery Flow Rate,Specialty
76821,Ultrasound of Fetal Brain Artery,Specialty
76825,Ultrasound of Fetal Heart Blood Flow,Specialty
76873,Ultrasound of Prostate,Specialty
76881,Ultrasound of Leg,Specialty
76882,Ultrasound of Arm,Specialty
76812,Follow-up Obstetrics Ultrasound,Specialty
76830,Transvaginal Ultrasound (TVS),Specialty
76872,Transrectal Ultrasound (TRS),Specialty
76705,Ultrasound Abdominal Emergency,Specialty
76965,Ultrasound Follow-up Study,Specialty
93886,Transcranial Doppler Ultrasound(TCD),Specialty
76604,Ultrasound of Chest,Specialty
36005,Angio/Venogram,Specialty
51610,Antegrade / Retrograde Urethrography,Specialty
74249,Barium Follow Through,Specialty
74270,Barium Enema,Specialty
74246,Barium Meal - Single Contrast,Specialty
74230,Barium Swallow,Specialty
75984,Fistulogram,Specialty
58340,Hysterosalpingogram (HSG),Specialty
